,source_1,source_2
290,445,20181
291,446,22219
292,447,43352
293,449,45829
294,450,4658
295,451,20798
296,453,8758
297,454,41879
298,458,8722
299,461,45628
300,464,44631
301,465,477
302,466,40686
303,467,40721
304,468,531
305,471,45612
306,472,860
307,473,44630
308,474,44631
309,477,2965
310,478,3558
311,481,3385
312,482,19781
313,483,43983
314,493,1636
315,494,1637
316,495,40033
317,496,40034
318,497,18171
319,498,776
320,499,17813
321,515,39724
322,522,26614
323,524,3826
324,526,31054
325,528,41833
326,529,3816
327,531,23852
328,532,16428
329,543,5816
330,549,8727
331,550,41616
332,552,32735
333,553,42858
334,555,8958
335,556,29629
336,557,20658
337,561,4209
338,563,20209
339,564,37533
340,566,14730
341,567,3071
342,572,8721
343,573,19675
344,574,18921
345,575,37233
346,576,5057
347,577,1563
348,578,1271
349,579,10840
350,580,27677
351,581,5388
352,582,19788
353,583,2349
354,590,41867
355,591,37296
356,592,16698
357,596,43533
358,601,37628
359,603,2964
360,604,19989
361,605,4863
362,623,1421
363,625,21729
364,627,31718
365,628,39879
366,630,7407
367,631,3516
368,632,39908
369,633,2966
370,634,37716
371,635,39773
372,643,45589
373,646,41751
374,651,2921
375,652,18785
376,655,45156
377,656,5617
378,660,40515
379,664,39161
380,668,43578
381,669,40642
382,672,904
383,673,5488
384,674,12517
385,675,42076
386,677,26469
387,680,14582
388,682,42101
389,685,5940
390,686,21389
391,687,4074
392,688,8155
393,693,5424
394,697,814
395,698,43450
396,699,18900
397,700,37848
398,704,37884
399,705,9995
400,707,11294
401,711,5030
402,716,43228
403,717,16851
404,718,43731
405,732,10571
406,733,3154
407,736,1668
408,737,25188
409,738,44886
410,746,37875
411,748,19752
412,750,43469
413,768,43782
414,771,5565
415,773,44181
416,774,36012
417,775,7457
418,776,40483
419,778,5570
420,779,4546
421,780,16929
422,782,3863
423,784,7204
424,785,41288
425,787,8112
426,789,45741
427,793,3620
428,794,17966
429,795,2205
430,796,41989
431,797,41719
432,798,6880
433,799,3718
434,802,6989
435,803,9974
436,804,29010
437,806,45134
438,808,709
439,809,710
440,810,34376
441,812,894
442,822,8638
443,825,11493
444,826,11429
445,827,39940
446,828,42258
447,829,42641
448,831,2829
449,832,40149
450,833,41055
451,840,6820
452,841,28521
453,842,5909
454,844,45273
455,845,19505
456,846,2027
457,847,8263
458,848,8724
459,849,2244
460,850,9818
461,851,37537
462,852,37545
463,854,8385
464,855,1973
465,856,1974
466,857,14704
467,858,26459
468,864,5544
469,865,11766
470,866,10920
471,867,16208
472,868,370
473,869,1438
474,870,37013
475,871,17209
476,872,43393
477,874,20550
478,877,39096
479,878,39106
480,880,5197
481,881,8526
482,882,21691
483,885,37006
484,886,38198
485,888,5569
486,889,7417
487,891,1774
488,892,33326
489,895,11614
490,896,359
491,897,1876
492,898,7971
493,901,39347
494,902,2437
495,904,6637
496,905,7339
497,906,23400
498,907,14905
499,908,4163
500,909,6869
501,911,11215
502,912,41543
503,913,19618
504,914,17122
505,915,27250
506,916,40189
507,918,3737
508,919,36191
509,921,19311
510,922,26646
511,923,44105
512,924,38315
513,926,15005
514,927,16922
515,933,25944
516,937,39897
517,940,22694
518,943,6220
519,946,42620
520,948,46292
521,949,37018
522,950,44077
523,951,8146
524,952,29601
525,953,3548
526,954,504
527,955,40415
528,956,40447
529,957,43593
530,959,19388
531,961,27756
532,963,42528
533,964,7480
534,965,4002
535,973,39452
536,974,39378
537,975,14182
538,977,38889
539,978,12676
540,979,15366
541,980,46789
542,981,37432
543,982,39911
544,984,45300
545,985,6531
546,994,12288
547,996,5742
548,998,11291
549,999,11370
550,1001,32625
551,1002,6874
552,1003,3636
553,1004,39586
554,1007,3639
555,1011,3635
556,1012,11931
557,1014,41498
558,1016,37693
559,1017,32130
560,1018,17263
561,1019,37702
562,1020,36967
563,1029,5919
564,1037,48694
565,1038,16979
566,1043,9897
567,1044,3138
568,1046,21006
569,1047,41154
570,1048,47133
571,1050,44103
572,1055,5037
573,1056,25178
574,1070,12540
575,1074,1734
576,1075,1761
577,1076,13941
578,1077,20227
579,1081,652
580,1082,6185
581,1083,3704
582,1084,8929
583,1085,11739
584,1086,1506
585,1087,6160
586,1088,8821
587,1089,5493
588,1090,20657
589,1091,42546
590,1092,9270
591,1093,19605
592,1095,5159
593,1096,35710
594,1097,34322
595,1099,34333
596,1100,11475
597,1101,8850
598,1102,13780
599,1103,8868
600,1104,39936
601,1105,17755
602,1106,22954
603,1107,35988
604,1108,9005
605,1109,42725
606,1112,3731
607,1116,37649
608,1117,6992
609,1118,1286
610,1120,44366
611,1121,43388
612,1129,45535
613,1131,37384
614,1132,40090
615,1149,1643
616,1167,1150
617,1169,9591
618,1173,43137
619,1177,40797
620,1185,18612
621,1186,32756
622,1187,7986
623,2646,0
624,1190,37315
625,1191,14646
626,1192,1071
627,1195,19627
628,1196,40169
629,1199,5817
630,1200,44389
631,1208,8733
632,1216,8432
633,1218,40685
634,1221,12343
635,1228,7197
636,1231,40474
637,1236,16384
638,1243,18941
639,1245,11308
640,1246,5571
641,1251,2766
642,1262,36032
643,1272,39692
644,1273,12693
645,1279,40297
646,1288,1696
647,1291,3067
648,1299,26271
649,1303,3720
650,1304,42096
651,1306,1660
652,1307,44670
653,1308,11517
654,1309,4591
655,1310,44736
656,1311,15920
657,1312,798
658,1313,43798
659,1318,2767
660,1327,13476
661,1328,44687
662,1329,28139
663,1330,7234
664,1331,27566
665,1338,42121
666,1339,24103
667,4694,14816
668,1345,27599
669,1346,14776
670,1348,7504
671,1349,1977
672,1350,40883
673,1351,6682
674,1352,44269
675,1355,19880
676,1359,2245
677,1365,12851
678,1366,14913
679,1367,14735
680,1370,30340
681,1373,7737
682,1381,1395
683,1386,38445
684,1387,12871
685,1389,14751
686,1391,43425
687,1393,42906
688,1401,14671
689,1402,14938
690,1403,14742
691,1404,3955
692,1405,28319
693,1406,14862
694,1408,14660
695,1412,18487
696,1416,9934
697,1419,20428
698,1423,41328
699,1430,11765
700,1431,39418
701,1438,25210
702,1439,33268
703,1443,17484
704,1445,40154
705,1448,9998
706,1449,27408
707,1451,9797
708,1457,2488
709,1466,14653
710,1467,14746
711,1468,15172
712,1469,14758
713,1472,5689
714,1474,14843
715,1475,4198
716,1476,14964
717,1477,21327
718,1479,608
719,6527,5083
720,6528,8180
721,6529,14896
722,1485,20308
723,1487,18440
724,1493,40187
725,1498,27543
726,1499,639
727,1510,40490
728,1514,18496
729,1517,39856
730,1520,43555
731,1526,11424
732,1527,11917
733,1528,43185
734,1569,42549
735,1571,17756
736,1575,6385
737,1577,3537
738,1578,30451
739,1580,37609
740,1581,39169
741,1582,38373
742,1584,422
743,1585,38278
744,1588,10878
745,1589,10877
746,1590,44709
747,1592,39044
748,1594,3190
749,1595,41259
750,1599,38279
751,1601,46088
752,1602,45638
753,1606,21871
754,1607,12539
755,1610,786
756,1612,34375
757,1616,45326
758,1617,31303
759,1618,42623
760,1619,21554
761,1620,9103
762,1621,4136
763,1624,44051
764,1633,42114
765,1638,3951
766,1639,13813
767,1641,30151
768,1642,18827
769,1644,9948
770,1645,30283
771,1650,29468
772,1651,21044
773,1652,1333
774,1657,22660
775,1661,26482
776,1664,501
777,1668,25251
778,1671,14175
779,1672,32384
780,1674,3715
781,1676,29504
782,1678,5850
783,1679,36895
784,1680,17849
785,1681,14380
786,1688,1521
787,1689,39185
788,1696,39054
789,1700,19334
790,1702,12331
791,1704,40612
792,1706,42038
793,1707,41140
794,1709,41074
795,1710,42248
796,1711,6733
797,1714,4589
798,1715,14851
799,1716,14779
800,1717,44457
801,1718,44457
802,1720,30679
803,1721,3661
804,1723,20444
805,1724,16441
806,1725,16450
807,1726,22164
808,1728,10164
809,1729,18665
810,1730,5316
811,1731,11562
812,1732,11578
813,1733,11613
814,1734,43509
815,1736,45404
816,1738,12828
817,1739,273
818,1743,14902
819,1747,44315
820,1748,8234
821,1749,36852
822,1750,41806
823,1752,38598
824,1753,14702
825,1754,14817
826,1755,10087
827,1756,15463
828,1757,41537
829,1758,37040
830,1761,9516
831,1764,43355
832,1765,16320
833,1767,35973
834,1768,7105
835,3309,881
836,3310,10821
837,1772,20795
838,1776,16603
839,1777,35359
840,1778,16788
841,1780,45208
842,1782,2574
843,1783,6672
844,1786,15173
845,1787,30711
846,1794,19374
847,1795,44586
848,1796,45403
849,1799,29218
850,4894,33757
851,1807,307
852,1813,42659
853,1815,21688
854,1816,14780
855,1818,14725
856,1848,6585
857,1850,8846
858,1853,8419
859,1855,35618
860,1857,5495
861,1858,35913
862,1860,41747
863,1861,42778
864,1862,43551
865,1864,8463
866,1867,22337
867,1869,5346
868,1870,10131
869,1871,41590
870,1874,21180
871,1875,41758
872,1876,16913
873,1877,39209
874,1879,37232
875,1895,30812
876,1897,39001
877,1898,18414
878,1899,22121
879,1900,40393
880,1902,9765
881,1903,45189
882,1906,35843
883,1908,21145
884,1910,1787
885,1912,35008
886,1913,36729
887,1915,41777
888,1918,10907
889,1919,8120
890,1920,36278
891,1925,12242
892,1926,7824
893,4191,1008
894,1928,2323
895,1929,22372
896,1933,11930
897,1934,7472
898,1937,2814
899,1939,41716
900,1940,16618
901,1942,47353
902,1944,5486
903,1947,1444
904,1948,516
905,1949,36977
906,1950,1353
907,1951,4167
908,1952,12122
909,1953,31324
910,1954,4418
911,1957,9895
912,6904,797
913,1960,21411
914,1962,43922
915,1964,9462
916,1968,37570
917,2552,40328
918,1981,40106
919,1982,26150
920,1989,40159
921,1992,40309
922,1999,14818
923,2003,4639
924,2004,35249
925,2005,43776
926,2012,7104
927,2013,7103
928,2025,8439
929,2026,8440
930,2028,4109
931,2032,4644
932,2046,20388
933,2053,14657
934,3200,14975
935,3201,18822
936,2092,10968
937,3014,1004
938,3018,3348
939,2098,18262
940,2099,18165
941,2106,42109
942,3650,8708
943,2109,45882
944,2110,22637
945,2114,19960
946,2116,8815
947,2118,42602
948,2119,9054
949,2122,9066
950,2126,9271
951,2133,43982
952,2138,24166
953,2167,5882
954,2170,40322
955,2174,23718
956,2176,18263
957,2177,25999
958,2188,13863
959,2194,19283
960,2216,40745
961,2217,14842
962,2218,11565
963,2221,15544
964,2222,3656
965,2224,23550
966,2228,4421
967,2229,19661
968,2230,30789
969,2231,44004
970,2232,43287
971,2233,14796
972,2248,39190
973,2253,36806
974,2259,7176
975,2260,11120
976,2261,21226
977,2268,1520
978,2275,34244
979,2282,28904
980,2306,37492
981,2299,31237
982,2300,44522
983,2301,41283
984,2302,39145
985,2303,37773
986,2306,45569
987,2308,39669
988,2313,45044
989,2316,9979
990,2318,4160
991,2321,31500
992,2323,3161
993,2325,21333
994,2329,4522
995,2330,3927
996,2331,9937
997,2332,42132
998,2334,16275
999,2336,17822
1000,2338,48128
1001,2339,6722
1002,2341,40656
1003,12425,14971
1004,2345,1281
1005,2346,1172
1006,2347,18249
1007,2348,43813
1008,2350,2374
1009,2353,14547
1010,2354,28380
1011,2355,6278
1012,2356,42442
1013,2357,28129
1014,2358,29727
1015,2362,45545
1016,2363,40583
1017,2365,3781
1018,2390,47270
1019,2396,35897
1020,2398,41162
1021,2427,32931
1022,2440,43841
1023,2443,11254
1024,2445,433
1025,2447,4866
1026,2448,5134
1027,2450,4347
1028,2451,37647
1029,2453,39232
1030,2460,9985
1031,2464,42800
1032,2469,8748
1033,2471,38088
1034,2472,28906
1035,2473,20692
1036,2476,43238
1037,2496,41562
1038,2497,41588
1039,2502,37934
1040,2506,6712
1041,2514,3929
1042,2515,7615
1043,2522,3486
1044,2527,43568
1045,2541,20305
1046,2542,885
1047,2543,40161
1048,2544,6222
1049,2561,44632
1050,2564,3463
1051,2565,1545
1052,2580,44688
1053,2581,1127
1054,2585,44408
1055,2589,3887
1056,2591,43714
1057,2601,1648
1058,2602,1649
1059,2603,42183
1060,2606,36827
1061,2608,1393
1062,2609,16938
1063,2612,32712
1064,2616,15530
1065,2622,5055
1066,2627,42290
1067,2638,6785
1068,2641,11487
1069,2643,43943
1070,2644,8982
1071,2645,41950
1072,2646,7
1073,2649,2127
1074,2657,43917
1075,2658,41652
1076,2660,12233
1077,3971,2233
1078,3970,2124
1079,2687,1949
1080,2688,39701
1081,2699,7160
1082,2704,21717
1083,3499,296
1084,2749,4638
1085,2750,2715
1086,2752,1385
1087,2757,31018
1088,2759,18125
1089,2760,31029
1090,2761,25263
1091,2762,31366
1092,2773,37543
1093,3821,37047
1094,2998,3443
1095,2999,3851
1096,2789,16841
1097,2790,10811
1098,2792,1929
1099,2793,20542
1100,2795,4143
1101,2798,19701
1102,2799,12533
1103,2800,21984
1104,2801,3654
1105,2802,10883
1106,2803,1144
1107,2804,17579
1108,2808,37389
1109,2813,16048
1110,2885,6951
1111,2831,2920
1112,2837,4100
1113,2840,19416
1114,2848,21034
1115,2852,38851
1116,2853,1744
1117,2874,37273
1118,2875,19499
1119,2876,491
1120,2882,21104
1121,2883,9144
1122,2887,43294
1123,2895,37273
1124,2896,42574
1125,2907,43826
1126,2910,4056
1127,2923,17864
1128,2937,14948
1129,2939,42537
1130,2948,19433
1131,2952,39301
1132,3979,23571
1133,3996,1705
1134,2956,37893
1135,2958,8792
1136,2959,8208
1137,2971,5910
1138,3332,41471
1139,2977,6974
1140,2978,44625
1141,2980,30268
1142,2999,20709
1143,3013,42110
1144,3015,20787
1145,3030,39265
1146,3984,4626
1147,3037,41911
1148,3038,40281
1149,3040,11629
1150,3041,16842
1151,3042,1801
1152,3044,4603
1153,3054,9087
1154,3058,44362
1155,3062,2880
1156,3066,19424
1157,3072,5451
1158,3074,42536
1159,3077,42539
1160,3078,14961
1161,3085,14856
1162,3086,6313
1163,3101,4441
1164,3113,20749
1165,3118,20735
1166,3125,14811
1167,3777,2043
1168,3130,33385
1169,3131,42613
1170,3132,46826
1171,3134,41151
1172,3135,4130
1173,3139,18823
1174,3675,23332
1175,3206,10162
1176,3494,14681
1177,3496,21992
1178,3497,1702
1179,4099,14968
1180,4100,14967
1181,3237,34886
1182,3241,31076
1183,3244,44576
1184,3250,2515
1185,3252,37928
1186,3253,42000
1187,3256,2029
1188,3259,42427
1189,3273,18725
1190,3290,6990
1191,3294,2930
1192,3299,22403
1193,3300,31520
1194,7937,3123
1195,3306,36475
1196,3309,16257
1197,3313,9892
1198,3319,19742
1199,3859,11251
1200,3342,15540
1201,3343,20804
1202,3348,3349
1203,4321,42564
1204,4322,1002
1205,4324,14886
1206,3387,43468
1207,3389,39687
1208,3390,5357
1209,3391,460
