,0
150,"Água de coco (Cocos nucifera) com valor Brix superior a 7,4"
151,Coques com granulometria igual ou superior a 80 mm
152,Coques com granulometria inferior a 80 mm
153,"Tricloreto de rutênio em solução aquosa com uma concentração igual ou superior a 17 %, mas inferior ou igual a 27 %, em peso"
154,"Ácido hexacloroirídico em solução aquosa com uma concentração igual ou superior a 17 %, mas inferior ou igual a 27 %, em peso"
155,"Veículos de chassis articulado, p/ o transporte de troncos(forwarder), c/ grua incorporada, de potência máxima igual ou superior a 126 kW (170 HP)"
156,"Other acrylic polymers, in irreg.blocks, pieces, etc"
157,Other articles of molybdenum
158,"Parts of hydraulic/pneumatic power motors, +++++movement"
159,Parts of other engines and motors
160,"Pumps f/dispensing fuel/lubric.in filling-stations, etc"
161,Pumps f/liquids with a measuring device/made f/sustain
162,Hand pumps for liquids
163,"Pumps for gasoline/alcohol, for combustion engine"
164,Fuel injectors for diesel/semidiesel engine
165,"Pumps for lubric.oil, f/combustion engine diesel/semidie"
166,"Oth.pumps for fuels, etc.f/combustion engine diesel/semi"
167,Concrete pumps
168,"Reciprocat.posit.displacement pumps, 5hp<potency<=600hp"
169,Other reciprocating positive displacement pumps
170,"Rotary positive displac.pumps, flow<=300l/min.of gear"
171,"Other rotary pos.displac.pumps, flow<=300l/min"
172,Other rotary positive displacement pumps
173,Submersible electric pumps
174,"Other centrifugal pumps, flow<=300 liters/minutes"
175,Other centrifugal pumps
176,Other pumps for liquids
177,Diggers with a 360° revolving superstructure c>=19m3
178,"Diggers capacity load>=19m3, flywheel power>=650hp"
179,"Diggers capacity load>=19m3, flywheel power<=54hp"
180,Other diggers with capacity load>=19m3
181,"Motive infrastructure, f/receiv.perfor.compact.excavat."
182,Oth.diggers mach.etc.with a 360° revolv.superstruture
183,"Other bulldozers, excavators, loaders, etc"
184,Piledrivers and pile-extractors
185,Snowploughs and snow-blowers
186,"Coal or rock cutters, self-propelled"
187,"Mach.f/perforat.of tunnels and galleries, self-propelled"
188,Other coal or rock cutters
189,Oth.machines f/perforating of tunnels and galleries
190,"Percussion type cutters, self-propelled"
191,"Rotary drilling machinery, self-propelled"
192,"Rotary boring machinery, self-propelled"
193,"Other rotary boring or sinking machinery, self-propelled"
194,Other drilling of percussion
195,"Other chains, of cast iron, iron/steel"
196,"Parts of other chains, of iron/steel"
197,"Anchors, grapnels and parts thereof, of cast iron, etc."
198,"Tack nails, of cast iron/iron/steel, incl.heads oth.mater"
199,"Curved wire staples, of cast iron, iron or steel"
200,"Carding tacks, of cast iron/iron/steel, f/tex.car.machin."
201,"Nails, thumb-tacks, similar articles, cast iron/iron/steel"
202,"Coach screws, cast iron/iron/steel"
203,"Other wood screws, of cast iron/iron/steel"
204,"Hooks and rings, of cast iron/iron/steel"
205,"Self-tapping screws, of cast iron, iron or steel"
206,"Other screws/bolts/nuts, of cast iron/iron/steel"
207,"Nuts, of cast iron, iron or steel"
208,"Other threaded articles, of cast iron, iron or steel"
209,"Pressure or safety washers, of cast iron, etc"
210,"Other iron washers, of cast iron, iron/steel"
211,"Rivets of cast iron, iron or steel"
212,"Cotters/cotter-pins, etc.of cast iron, iron or steel"
213,"Unwrought tantalum, incl.bars obt.by sinter.waste scrap"
214,"Unwrought tantalum, bars obt.by sinter.powder"
215,Tantalum waste and scrap
216,Other articles tantalum
217,"Unwrought magnesium, cont.magnesium>=99.80%"
218,Other unwrought magnesium
219,Magnesium waste and scrap
220,"Rasp.turn.and gran.graded accord.to size,powders magn."
221,Other magnesium articles
222,Cobalt in powders
223,Cobalt in brute
224,"Cobalt mattes, other intermed.prod.of cobalt metal.etc"
225,Unwrought cobalt
226,Cobalt in powders
227,Po de ligas a base de cobalto-cromo-tungstenio
228,Outros pos
229,"Cobalt mattes, other interm.products of cobalt metal."
230,Cobalt waste and scrap
231,"Foil, sheets, strip, threads, stems, etc.of cobalt"
232,"Rings of segment,d>=200mm for diesel engines or semidiesel"
233,Other rings of segmentf or diesel engines or semidiesel
234,Other parts for diesel engines or semi-diesel
235,Cylinder welded shirts by head with a diameter>=200mm
236,Other parts for diesel and half diesel engines
237,"Hydraulic turbines and water wheels, potency<=1000kw"
238,Lifts and skip hoists
239,Pneumatic conveyors mobile appar.with engines>120hp
240,Other pneumatic elevators and conveyors
241,"Machin.elevators/conveyors of goods, f/underground use"
242,"Machin.elevators/conveyors of goods, bucket type"
243,"Machin.elevators/conveyors of goods, belt type"
244,"Machin.elevators/conveyors of goods, chain type"
245,"Machin.elevators/conveyors of goods, motoriz.roller type"
246,Machin.of lateral tweezers f/transport of newspaper
247,Other machinery elevators/conveyors of goods
248,Escalators and moving walkways
249,"Mine wagon pushers, locomot.and railway wagon hand.equip"
250,"Telefer.chair-lifts, ski-draglin.traction mechan.f/funic"
251,"Machinery for disembarkation of lifeboats, etc"
252,"Automat.transporter-elevators, with horizontal movement"
253,"Machines f/piling periodicals top-to-tail, c>=80000/hour"
254,"Reserv.etc.iron/steel, 50<=c<=300l, without ther.equip"
255,"Isothermic cont.cooled liq.nitr.50l<=cap<=300l, f/semen,"
256,"Oth.tanks of iron/steel, 50l<=c<=300l, n/thermal disp."
257,"Cans of iron/steel, closed sold.crimp.c<50l, f/food prod"
258,"Oth.cans of iron/steel, closed f/sold.crimp.c<50l"
259,"Other tanks, etc.of iron/steel, c<50l, f/food production"
260,"Isothermic cont.cooled liq.nitr.cap<50l, f/semen, etc"
261,"Other tanks, etc.of iron/steel, c<50l"
262,"Containers f/compressed/liquefied gas, of iron/steel"
263,"Ropes and cables, of steel wire, bronze/brass coat.f/elec"
264,"Oth.ropes and cables, of iron/steel, insulat.f/electric"
265,"Plaited bands/slings, etc.of iron/steel, insulat.f/elect."
266,"Barbed wire of other iron or steel, used f/fencing"
267,"Woven cloth, of stainless steel, endless bands f/machin."
268,"Zinc n/alloyed , cont.zinc<99.99%, in ingoats"
269,"Other unwrought zinc of zinc n/al.cont.zinc<99, 99%"
270,"Zinc alloys, in ingots"
271,Other unwrought of zinc alloys
272,Zinc waste and scrap
273,Zinc dust
274,Zinc powders and flakes
275,"Zinc bars, rods, profiles and wire"
276,"Zinc plates, sheets and strips"
277,Zinc tubes and its accessories
278,Other articles of zinc
279,Zinc tubes and its accessories
280,Other articles of zinc
281,"Tin not alloyed, unwrought"
282,Machines and appliances for testing other metals
283,Parts and access for string musical instruments
284,"Parts and access f/organs of tubes and of keyboards,etc"
285,Parts and acces.f/musical instr.with sound ampl.elect.
286,Parts and access. for other musical instruments
287,"Military weapons,exc.revolvers,pitols and the arms"
288,"Artillery weapons (eg guns, howitzers, mortars)"
289,"Artillery weapons, self-propelled"
290,Other artillery weapons
291,"Rocket launchers,flame-throwers,grenade launcher,etc"
292,Other military weapons
293,Other revolvers and pistols
294,Muzzle-loading firearms
295,"Sporting/hunting/target-shooting shotguns,smoot.barr>=1"
296,Other sporting/hunting/target-shooting shotguns
297,"Oth.firearms which oper.by firing of an expl.charge,etc"
298,Oth.arms (shotguns/carbines/pistols /truncheons)
299,Parts and accessories for revolvers/pistols
300,Other diesel engines/semi-diesel
301,"Mach.sprayin.press.butt.f/project.liquid/powders, foams"
302,Autom.appliances for projecting lubric. on pneum. with drying system by hot air
303,"Oth.mechanic.appliances, f/projecting, etc.liquid, powders"
304,"Parts of fire extinguis./mach.f/spraying, etc.hand oper."
305,"Parts of oth.mech.appliances f/projec., etc.liq/pow., etc"
306,"Pulley tackle and hoists, powered by electric motor"
307,"Pulley tackle and hoists, hand-operated"
308,Other pulley tackle and hoists
309,"Pit-head wind.gear, winches spec.desig.f/use under.etc"
310,"Pit-head/capstans, powered by electric motor, cap<=100t"
311,"Other pit-head/capstans, powered by electric motor"
312,"Other pit-head and capstans, cap<=100t"
313,Other pit-head and capstans
314,Built-in jacking systems of a type used in garages
315,"Jacks and hoists, hydraulic"
316,"Jacks and hoists, hand-operated"
317,Other instruments and appliances without a recording device
318,Instr./appar. with test. reg.dev. of print.circuit.
319,Digital voltmeters without recording device
320,Other voltmeters without recording device
321,Ammeters without recording device f/motor vehicles
322,Other ammeters without recording device
323,"Oth.appar.and instrum.f/measuring/checking tension,etc"
324,"Protocol analysers,for telecommunications"
325,"Selective level analysers,for telecommunications"
326,"Eletric trains of toy, includ. rail tracks, signs, accessories"
327,"Reduced-size, of toy, for assembly kits"
328,Other kits and toys for construction
329,Puzzles
330,"Other toys, put up in sets or outfits"
331,Toy musical instruments and apparatus
332,Other toys with electric motor
333,"Other toys of friction,mechanical or spring-operated"
334,Other toys of any kind
335,Electr.trains of toy.incl.tracks/signals/acces.therefor
336,"Oth.reduced-size,of toy,f/assembly kits"
337,Other kits and toys for construction
338,Filled toys representing animals or non-human creatures
339,Other toys representing animals or non-human creatures
340,Toy musical instruments and apparatus
341,Puzzles
342,"Other toys, put up in sets or outfits"
343,"Other toys and models,incorporating a motor,electric"
344,"Toys of friction,mechan.orspring-operat.incorp.motor"
345,Other edible offal
346,"Selective level analysers,for telecommunications"
347,"Other instruments and apparatus,for telecommunications"
348,"Instruments and apparatus,f/testing integrated circuits"
349,"Oth.instrum.and appar.f/measuring/checking(wafers),etc"
350,"Appar.f/continuity testers f/printed circuits,rec.dev."
351,"Appar.f/autom.testers of printed circuits,moun.rec.dev."
352,Appar.f/meas.charac.param.tv/video signal.etc.rec.dev
353,Oth.instr.and appar.f/measuring/checking elect.rec.dev.
354,Instr./appar. with autom. test. reg.dev. of print.circuit.
355,Instr./appar.with parameters measur. reg. dev. of tv/video sign
356,"Other instruments, with recording device"
357,Logic analysers for digital circuit
358,Frequency spectrum analyser
359,Frequency meters
360,Phase meters
361,Oth.instrumen.and appar.f/measuring/checking elect.etc.
362,Parts and acces.f/measur.appar.etc.ionising radiations
363,"Other toys and models,incorporating a motor"
364,"Other toys, etc. for entertainment"
365,"Other toys of friction,mechanical or spring-operated"
366,Other toys
367,Video games used with a television receiver
368,Cartridges for video games
369,Other parts and access.f/video games
370,Articles and accessories for billiards
371,"Oth.games,operated by coins/banknotes,exc.mark games"
372,Playing cards
373,Consoles and video game machines (ex. 9504.30)
374,Shredding machinery for cotton
375,"Harv.mac.f/cotton, cap.2 rows, flywheel power n/exc.80hp"
376,"Other machines for cleaning, sorting or grading eggs"
377,"Grind.balls, etc.moulded, cast iron/iron/steel, f/mills"
378,"Other moulded articles, of steel"
379,"Other moulded articles, of cast iron or iron"
380,"Grin.balls, etc.forged/stam.cast iron/iron/steel, f/mills"
381,"Other forged/stamped articles, of iron or steel"
382,Articles of iron or steel wire
383,Other articles of iron or steel wire
384,Elliptical steel with nickel hubcaps used to produce recipients
385,Other articles of iron or steel
386,"Copper mattes, cement copper (precipitated copper)"
387,Copper mattes
388,Cement copper (precipitated copper)
389,Unrefined copper  and anodes cop.f/electr.refining
390,"Refined copper cathodes/its sections, unwrought"
391,"Refined copper in bars, for obtaining wire, unwrought"
392,"Billets of refined copper, unwrought"
393,"Other products of refined copper, unwrought"
394,"Copper-zinc base alloys (brass), unwrought"
395,"Copper-tin base alloys (bronze), unwrought"
396,Forks of common metals
397,"Mattocks, picks, hoes, etc.of common metals"
398,"Axes, bill hooks and other hewing tools, of common metals"
399,"Balances of sensit.of 0.2mg<w<=50mg,with/without weig."
400,"Drafting tables and machines,automatic"
401,Other drafting tables and machines
402,Oth.drawing marking-out or mathemat.calcul.intruments
403,Micrometers(instrument of manual distances measure)
404,Micrometers(instrument of manual distances measure)
405,Callipers and similar(instrum.of manual distan.measure)
406,Meters(instrument of manual distances measure)
407,Other instrument of manual distances measure
408,Parts and acces.of autom.drafting tables and machines
409,"Parts and acces.of oth.drawing intruments,measured,etc"
410,Electrocardiographs
411,Echographs with doppler spectrum analysis
412,Other appar. of eletrodiag. by ultrasonic scanning
413,Magnetic resonance imaging apparatus
414,"Fixed appar., analog.portabl.single-chan.f/radio-teleph."
415,"Portab.appar., analog.f/radio-teleph.of motor vehicles"
416,Oth.transmission appar.analog.recep.f/radio-teleph.etc
417,"Transm.appar./recep.dig.radio-teleph.f<15ghz, t<=8mbit/s"
418,"Transm.appar./recep.dig.radio-telep.f<15ghz, t<=34mbit/s"
419,Appar.bidirectional radiop.base stations.t<=112kbits/s
420,Portable appar.bidirec.radiopaging t<=112kbits/s
421,Oth.transm.appar./radio-telep/digit.radioteleg.f<15ghz
422,"Oth.transm.appar.digit.recep.f/radiotelegraphy, etc."
423,"Transm.appar./recep.dig.radiotelep.f<=23ghz, t<=8mbit/s"
424,Oth.transm.appar./radio-telep/digit.radiotelegraphy
425,Oth.transmis.apparatus incorpor.reception apparatus
426,Television cameras with 3 or more image recorders
427,"Television cameras with image cdd type, etc.ilum<0.20lux"
428,Oth.television cameras f/capturing infrared spectrum
429,Oth.photosensitive semiconductor devices n/mounted
430,"Light-emitting diodes (led) mounted,f/surf.mount.device"
431,Oth.autom.regulating/controlling instrum.and apparatus
432,"Circuit printed mounted,f/autom.regulating appar.etc"
433,Parts and accessories f/automatic thermostats
434,"Parts and access.f/other autom.regulating apparatus,etc"
435,Parts and acess.f/oth.optical mach.appar.instrumen.etc.
436,"Wrist watches,prec.met.case electr.func.mechanic.display"
437,"Wrist watches,prec.met.case elec.func.opto-elect.display"
438,"Oth.wristwatches,prec.met.case,etc.electr.function"
439,"Wristwatches,prec.met.case,etc.automatic winding"
440,"Other wristwatches,prec.metal case,etc."
441,Plastics ribbons with.magnetiz.dye f/printing
442,"Plastics ribbons,correctors f/typewriters"
443,"Other plastics ribbons,in cartridges f/typewriters"
444,Other plastics ribbons
445,Other ribbons of other materials
446,Ink-pads
447,"Pocket lighters, gas fuelled, non-refillable"
448,"Pocket lighters, gas fuelled, refillable"
449,Table lighters
450,Other lighters
451,Parts of cigarette lighters and other lighters
452,"Pipes, cigarette holders and their parts"
453,Pipes and pipe bowls
454,Cigarette-holders (mouthpieces) and parts thereof
455,"Combs and hair-slides,of hard rubber/plastics"
456,"Other combs and hair-slides,of other materials"
457,"Hairpins, tweezers and other articles for hairdos"
458,Scent sprays and sim.toilet spr.mounts and heads ther.
459,Powder-puffs and pads/oth.comestics/toilet preparations
460,"Vacuum flasks/other vacuum vessels,complete with cases"
461,"Pocket-watches,and oth.prec.metal case,etc.elec.oper."
462,"Other pocket-watches,and oth.prec.metal case,etc."
463,"Wristwatches,base metal case,elect.operat.mech.disp"
464,"Oth.wristwatches,elect.operat.mechanical display"
465,"Wristwatches,metal base case,elect.oper.opto-elec.disp"
466,"Wristwatches,plastic case,elect.oper.opto-elec.disp"
467,"Oth.wristwatches,plast.case,elect.oper.opto-elec.displ"
468,"Other wristwatches, electrically operated"
469,"Wristwatches, with automatic winding"
470,Other wristwatches
471,"Pocket-watches,electrically operated and other watches"
472,Other pocket-watches and other watches
473,Clocks with watch movements
474,Oth.colocks with watch movements
475,"Oth.clocks,electrically operat.exc.watch movements"
476,Parts of thermos flasks and oth.vacuum vessels
477,"Mannequin,autom.and anim.displays f/shop window/dress."
478,"Sanitary towels and tampons, diapers, baby diapers"
479,"Paintings, drawings and pastels, executed by hand"
480,Collages and similar ornamental paintings
481,"Original engravings,prints and lithographs"
482,Original sculptures and statuary
483,"Postage or revenue stamps,stamp-postmarks,etc"
484,Collections and collectors' pieces of zoolog.botan.etc.
485,Antiques over 100 years old
486,Free-shop
487,Parcel post
488,Samples
489,"Trade of panol fuels, equipments, etc."
490,Goods in devolution
491,Goods in leasing no financial
492,"Oth.recep.appar.radio-broad.comb.sound appar., pile/elec"
493,"Recep.appar.of radio with clock, by pile/electricity"
494,Oth.recep.appar.radio-broadcasting  by pile/electr.etc.
495,"Oth.semiconductors,of metallic oxide,mos techn."
496,"Circuit obtain.bipolar technology,not mounted"
497,"Circuit obtain.bipolar techn.mounted,f/surf.moun.dev"
498,Oth.circuit digital obtain.bipolartechnology
499,"Oth.digital monolithic integrated circuits,n/mounted"
500,"Atrial septal defect cons.wire mesh made of nickel,etc"
501,Oth.apparatus f/compensating deficiencies/illnesses
502,Parts/access.of pacemakers f/stimulating heart muscles
503,Parts and access.of hearing aids apparatus
504,Parts and acces.of articles/appar.f/compens.deficiency
505,"Tomography apparatus, program controlled"
506,"Appar.of x-rays,f/panoramic photographs of the jaw"
507,"Other appar.of x-rays,f/dental diagnostic"
508,"Other apparatus of x-rays,f/dentistry"
509,"Apparatus of x-rays,of f/mammography diagnostic"
510,"Apparatus of x-rays,for diagnostic angiography"
511,"Diagnostic appararus,for measuring bone density,progr."
512,"Other apparatus of x-rays,f/medical diagn.surgical,etc."
513,"Other apparatus of x-rays,f/medical,surgical,veter.uses"
514,X-ray spectrometers or spectrographs
515,"Oth.appar.of x-rays,f/radiography or radiotherapy"
516,"Appar.of x-rays,lugg.inspec.,h<=4dm,a<=6dm,c<=1,2m"
517,Upright pianos
518,Grand pianos
519,"Oth.pianos,harpsich.and oth.keyboard stringed instrum."
520,"Other string musical instruments,played with a bow"
521,Other string musical instruments
522,"Keyboard pipe organs,harmon.and similar keyboard instr."
523,Accordions and similar instruments
524,Mouth harmonics
525,Brass-wind musical instruments
526,Other wind musical instruments
527,"Percussion musical instruments(drums,etc.)"
528,Synthesizers (musical instruments of keyboard)
529,Other keyboard musical instruments
530,Guitar and bass guitar
531,"Musical instruments with sound amplified,electrically"
532,Music boxes
533,Fairground organs and other musical instruments
534,"Metronomes,tuning forks and pitc.pip.f/musical instrum."
535,Mechanisms for musical boxes
536,Strings for musical instruments
537,Parts and accessories for pianos
538,Caprylic acid
539,Oth.industrial monocarboxylic fatty acids/ac.oils.refin
540,"Oth.appar.of x-rays,f/radiography or radiotherapy"
541,"Radiocobalt apparatus(cobalt bombs),medical uses,etc"
542,"Gamma therapy apparatus f/medical,surgical,etc."
543,"Oth.radiation appar.alpha/beta/gama,f/medical uses,etc."
544,"Other radiation apparatus alpha, beta or gama"
545,"Gamma rays,f/detect.stuffing level/cover of drink can"
546,"Other radiation apparatus alpha, beta or gama"
547,X-ray tubes
548,"Voltage generators,f/x-rays appar./other radiations"
549,"X-ray screens,f/x-rays apparatus/other radiations"
550,Other x-rays generators apparatus
551,Other x-rays generators devices
552,"Parts and access.f/x-rays appar./other radiations,etc."
553,Mach.appl.f/testing tensile strength/metals compress.
554,Machines and appliances f/testing hardness
555,Saddles for motor-cycles (including mopeds)
556,Other parts and access.f/motor-cycles incl.mopeds
557,Parts and access.of carriag.f/disabled/oth.vehic.inval.
558,"Frames,forks and parts thereof f/bicycles and oth.cycl."
559,Wheel rims and spokes f/bicycles and other cycles
560,"Oth.hubs and sprocket-wheels f/bicycles,etc"
561,"Hubs,exc.of brakes(coaster brak.)p/bicyc.and oth.cycles"
562,Centralizing of lines of subscribers (centr/remot.term.)
563,Other centralizing appar/equip
564,"Public central, eletron. commutator, includ. traffic"
565,"Private autom.central, capac.<=25 internal lines"
566,"Priv. autom.central, capac.>25 intern. lines and <=200 intern. lines"
567,"Private autom.central, capac.>200 internal lines"
568,Other commut. aut. centr. for teleph.line excep. videotext
569,Commut.auto.centr. of pack. trunk speed>72kbits/s
570,Other commut. aut. centr. for packages
571,Automatics central of trunk system
572,Parts and accessories of shotguns or rifles (9303)
573,"Mach.and appliances f/testing yarn,automatic"
574,Other machines and appliances for testing textile
575,"Machin.and appl.f/testing paper,paperb.linoleum,etc"
576,Machines for testing tires
577,"Other machin.and appl.f/testing paper,paperb.linoleum,etc"
578,"Oth.machin.and appl.f/testing hardness,etc.of materials"
579,"Parts and acces.of mach.and appl.f/testing hardness,etc"
580,"Clinical thermometers,of liquid,of direct reading"
581,"Oth.thermometers and pyrom.of liquid,of direct reading"
582,Optical pyrometers
583,Other thermometers and pyrometers
584,"Hydrometers,areometers and other floating instruments"
585,Parts and accessories of thermometers
586,Parts and access.of hydrometers and oth.instruments
587,"Electr.measuring transmitters,operat.by electrom.induct"
588,Oth.instrum.and applian.f/measuring/checking the flow
589,Instruments and applian.f/measuring/checking the level
590,"Instrum.and appl.f/measuring/checking the level,metals"
591,"Parts and acces.f/shotguns/carbines,smooth barrel"
592,Parts and acces.f/other shotguns/carbines
593,Parts and accessories for military weapons
594,Parts and accessories for other arms
595,"Parts/accessorries of military weapons,etc"
596,Parts/accessories of other arms
597,Cartridges for riveting/captive-bolt humane killers
598,Cartridges shotguns/carbines of smooth barrel
599,"Lead f/carbines of compressed air,parts f/cartridges"
600,Other cartridges and parts thereof
601,"Bombs,grenades,oth.munitions of war and parts thereof"
602,"Swords,cutlasses,bayonets,oth.arms and parts thereof"
603,"Ejector seats, for aircraft"
604,"Other seats for aircraft, except ejector seats"
605,Seats for motor vehicles
606,"Swivel seats with variable height adjustment,of wood"
607,Swivel seats with variab.height adjustm.of oth.material
608,"Seats convertible into beds, of wood"
609,"Seats convertible into beds,of oth.materials"
610,Oth.instruments and appl.f/measuring/checking the level
611,Manometers
612,Oth.instrum.and appl.f/measuring/checking the pressure
613,"Oth.instrum.and appl.f/measuring/checking  liquid,etc"
614,Parts of access.instr.and appl.f/measur./checking level
615,Parts and accessories for manometers
616,Parts of access.f/oth.instr.and appl.f/meas./checking
617,Gas or smoke analysis apparatus
618,Chromatographs of gaseous phase
619,Chromatographs of liquid phase
620,Other chromatographs
621,Electrophoresis instruments
622,Automatic dna sequencing by means of capil.electrop.
623,Other electrophoresis instruments
624,Spectrometers of optical emission (atomic emission )
625,Other spectrometers
626,Spectrophotometers
627,"Spectrophotometers of uv radiations,visible and ir"
628,Spectrophotometers of atomic absorption
629,Spectrophotometers of optical emission(atomic emission)
630,Other spectrophotometers
631,"Seats of cane,osier,bamboo or similar materials"
632,"Seats of rattan, bamboo or similar materials"
633,"Other seats of rattan, bamboo or similar materials"
634,"Upholstered seats, with wooden frames"
635,"Other seats, with wooden frames"
636,"Upholstered seats, with metal frames"
637,"Other seats, with metal frames"
638,Other seats
639,"Parts for seats, of wood"
640,"Parts for seats, of other materials"
