,id_1,source_1,id_2,source_2
27,36,"Meat; of bovine animals, boneless cuts, fresh or chilled",32559,fresh meat
28,37,"Meat; of bovine animals, carcasses and half-carcasses, frozen",32560,meat
29,39,"Meat; of bovine animals, boneless cuts, frozen",14640,frozen meat
30,41,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",1686,ms
31,44,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",19514,hams
32,46,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",26730,lamb meat
33,56,"Offal, edible; of bovine animals, fresh or chilled",37380,offal
34,57,"Offal, edible; of bovine animals, tongues, frozen",42793,tongue
35,58,"Offal, edible; of bovine animals, livers, frozen",29413,liver
36,63,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",17609,goa
37,65,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), fresh or chilled",19774,head
38,66,"Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), frozen",19788,heading
39,69,"Meat and edible offal; turkeys, not cut in pieces, frozen",43380,turkeys
40,89,"Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea) and manatees and dugongs (mammals of the order Sirenia), fresh, chilled or frozen",6990,dolphins
41,93,"Fat; pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",41455,act
42,95,"Meat, preserved; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine, dried or smoked",41239,shoulders
43,96,"Meat, preserved; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",3578,bel
44,99,"Meat and edible meat offal, preserved; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates,whales, dolphins and porpoises, manatees and dugongs, reptiles (including snakes and turtles)",7395,dugongs
45,100,"Fish; live, trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)",4189,fish
46,101,"Fish; live, eels (anguilla spp.)",8330,eels
47,102,"Fish; live, carp",2315,carp
48,103,"Fish; live, bluefin tunas (Thunnus thynnus)",30366,thunnus thynnus
49,104,"Fish; live, southern bluefin tunas (Thunnus maccoyii)",42686,thunnus
50,105,"Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",4191,fresh fish
51,106,"Fish; Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar), Danube salmon (hucho hucho), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",3007,salmo salar
52,107,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, livers, roes, other fish meat of heading 0304",12158,fillets
53,108,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, livers, roes, and other fish meat of heading 0304",6792,ube
54,109,"Fish; salmonidae, fresh or chilled, n.e.s. in item no. 0302.1 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",12196,fish fillets
55,110,"Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",19440,halibut
56,111,"Fish; plaice (pleuronectes platessa), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",31302,pleuronectes platessa
57,112,"Fish; sole (solea spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",37408,olea
58,113,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, livers, roes, and other fish meat of heading 0304",31475,scophthalmidae
59,115,"Fish; albacore or longfinned tunas (thunnus alalunga), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",42290,ba
60,116,"Fish; yellowfin tunas (thunnus albacares), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",40235,roes
61,119,"Fish; bluefin tunas (Thunnus thynnus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",43362,tuna
62,122,"Fish; herrings (clupea harengus, clupea pallasii), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",16518,clupea
63,124,"Fish; fresh or chilled, anchovies (Engraulis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",8995,engraulis
64,125,"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, livers, roes, and other fish meat of heading 0304",4002,rattus
65,127,"Fish; fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",30556,mackerel
66,129,"Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, livers, roes, and other fish meat of heading 0304",38205,ph
67,130,"Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",5441,cod
68,131,"Fish; fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, livers, roes, and other fish meat of heading 0304",75,doc
69,132,"Fish; fresh or chilled, coalfish (Pollachius virens), excluding fillets, livers, roes, and other fish meat of heading 0304",5375,coal
70,133,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",9776,phycis
71,134,"Fish; fresh or chilled, Alaska pollack (Theragra chalcogramma), excluding fillets, livers, roes, and other fish meat of heading 0304",7258,alaska
72,135,"Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, livers, roes, and other fish meat of heading 0304",40553,poutassou
73,136,"Fish; sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",23777,sprattus sprattus
74,137,"Fish; haddock (melanogrammus aeglefinus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",3518,aegle
75,138,"Fish; coalfish (pollachius virens), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",16398,pollachius
76,139,"Fish; mackerel (scomber scombrus, scomber australasicus, scomber japonicus), fresh of chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",17535,ber
77,140,"Fish; dogfish and other sharks, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",6981,dogfish
78,142,"Fish; swordfish (Xiphias gladius), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",42324,swordfish
79,144,"Fish; fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",9749,oreochromis
80,145,"Fish; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",7901,clarias
81,146,"Fish; fresh or chilled, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), excluding fillets, livers, roes, and other fish meat of heading 0304",1982,carassius
82,148,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, livers, roes, and other fish meat of heading 0304",41206,sharks
83,149,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, livers, roes, and other fish meat of heading 0304",23086,rajidae
84,151,"Fish; fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",6718,dicentrarchus
85,152,"Fish; fresh or chilled, seabream (Sparidae), excluding fillets, livers, roes, and other fish meat of heading 0304",844,bream
86,153,"Fish; Pacific salmon, sockeye salmon, (red salmon), (Oncorhynchus nerka,) frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)",14629,frozen fish
87,154,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, livers, roes, and other fish meat of heading 0304",37433,oncorhynchus
88,155,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, livers, roes, and other fish meat of heading 0304",21376,hucho
89,156,"Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, livers, roes, and other fish meat of heading 0304",42066,gaster
90,157,"Fish; Pacific salmon, other than sockeye salmon, (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)",37676,sockeye salmon
91,158,"Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",43136,trout
92,160,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",8150,pangasius
93,161,"Fish; frozen, carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), excluding fillets, livers, roes, and other fish meat of heading 0304",4262,ctenopharyngodon
94,163,"Fish; salmonidae, frozen, n.e.s. in item no. 0302.1 and 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",23947,salmonidae
95,164,"Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",20857,hippoglossoides
96,165,"Fish; plaice (pleuronectes platessa), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",22282,ice
97,167,"Fish; frozen, turbots (Psetta maxima, Scophthalmidae), excluding fillets, livers, roes, and other fish meat of heading 0304",43371,turbo
98,169,"Fish; albacore or longfinned tunas (thunnus alalunga), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",43361,albacore
99,176,"Fish; herrings (Clupea harengus, Clupea pallasii), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",20488,herrings
100,177,"Fish; cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",15182,gadus
101,178,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, livers, roes, and other fish meat of heading 0304",40581,sardina
102,179,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, livers, roes, and other fish meat of heading 0304",21621,scomber scombrus
103,180,"Fish; frozen, jack and horse mackerel (Trachurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",42845,trachurus
104,182,"Fish; frozen, swordfish (Xiphias gladius), excluding fillets, livers, roes, and other fish meat of heading 0304",44291,xiphias
105,186,"Fish; frozen, haddock (Melanogrammus aeglefinus), excluding fillets, livers, roes, and other fish meat of heading 0304",4001,mus
106,187,"Fish; frozen, coalfish (Pollachius virens), excluding fillets, livers, roes, and other fish meat of heading 0304",7340,lac
107,188,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",33541,merluccius
108,189,"Fish; frozen, Alaska pollack (Theraga chalcogramma), excluding fillets, livers, roes, and other fish meat of heading 0304",39062,pollack
109,190,"Fish; frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, livers, roes, and other fish meat of heading 0304",44128,whitings
110,191,"Fish; sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",40582,sardinella
111,192,"Fish; haddock (melanogrammus aeglefinus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",19223,haddock
112,194,"Fish; mackerel (scomber scombrus, scomber australasicus, scomber japonicus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",40685,scomber
113,198,"Fish; hake (merluccius spp., urophycis spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",43565,urophycis
114,202,"Fish; frozen, seabass (Dicentrarchus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",13140,aba
115,203,"Fish; swordfish (Xiphias gladius), fillets and other fish meat (whether or not minced), fresh or chilled",8285,minced meat
116,209,"Fish fillets; fresh or chilled, tilapias (Oreochromis spp.)",16361,tilapia
117,211,"Fish fillets; fresh or chilled, Nile perch (Lates niloticus)",7636,lates
118,212,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",23958,oncorhynchus nerka
119,213,"Fish fillets; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",18323,oncorhynchus mykiss
120,214,"Fish fillets; fresh or chilled, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",19478,eu
121,217,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, tilapias, catfish, carp, eels, Nile perch, and snakeheads",38071,perch
122,221,"Fish fillets; frozen, tilapias (Oreochromis spp.)",40918,til
123,222,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",22364,ictalurus
124,224,"Fish fillets; frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",26578,gadus macrocephalus
125,225,"Fish fillets; frozen, haddock (Melanogrammus aeglefinus)",33054,melanogrammus
126,226,"Fish fillets; frozen, coalfish (Pollachius virens)",39060,pollachius virens
127,229,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",23977,hucho hucho
128,230,"Fish fillets; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",44892,aster
129,231,"Fish fillets; frozen, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",31263,bothidae
130,233,"Fish fillets; frozen, tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)",1055,genus
131,238,"Fish; Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), including fillets, smoked (whether or not cooked before or during the smoking process)",40472,salmon
132,239,"Fish; herrings (clupea harengus, clupea pallasii), including fillets; smoked (whether or not cooked before or during the smoking process)",41395,smoking
133,243,"Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), dried (whether or not salted but not smoked)",7037,dried fish
134,244,"Fish; herrings (clupea harengas, clupea pallasii), salted or in brine but not dried or smoked",38695,arenga
135,246,"Fish; anchovies (engraulis spp.), salted or in brine but not dried or smoked",24301,anchovies
136,248,"Crustaceans; rock lobsters and other sea crawfish (palinurus spp., panulirus spp., jasus spp.), frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",5920,crawfish
137,249,"Crustaceans; lobsters (homarus spp.), frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",5980,crustacea
138,250,"Crustaceans; shrimps and prawns, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",5981,crustaceans
139,251,"Crustaceans; crabs, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",5908,crabs
140,253,"Crustaceans; frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",5490,cold
141,254,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",41214,shell
142,255,"Crustaceans; rock lobster and other sea crawfish (palinurus spp., panulirus spp., jasus spp.), not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",8738,steam
143,256,"Crustaceans; lobsters (homarus spp.), not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",21021,homarus
144,257,"Crustaceans; shrimps and prawns, not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",41987,steaming
145,258,"Crustaceans; crabs, not frozen, (whether in shell or not, whether or not cooked by steaming or by boiling in water)",43974,water
146,259,"Crustaceans; not frozen, Norway lobsters (Nephrops norvegicus), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flours, meals, and pellets",12839,flours
147,260,"Crustaceans; not frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",5912,crangon
148,261,"Crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets",38026,pellets
149,262,"Molluscs; oysters, live, fresh, chilled, frozen, dried, salted or in brine (whether in shell or not)",35106,molluscs
150,263,"Molluscs; oysters, whether in shell or not, live, fresh or chilled",37659,oysters
151,265,"Molluscs; scallops (including queen scallops of the genera pecten, chlamys or placopecten), live, fresh or chilled (whether in shell or not)",3993,chlamys
152,266,"Molluscs; scallops (including queen scallops of the genera pecten, chlamys or placopecten), frozen, dried, salted or in brine (whether in shell or not)",37994,pecten
153,267,"Molluscs; mussels (mytilus spp., perna spp.), live, fresh or chilled (whether in shell or not)",20118,perna
154,268,"Molluscs; mussels (mytilus spp., perna spp.), frozen, dried, salted or in brine (whether in shell or not)",36495,mussels
155,274,"Molluscs; clams, cockles and ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), whether in shell or not, live, fresh or chilled",5115,clams
156,275,"Molluscs; clams, cockles, ark shells (Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), whether in shell or not, other than live, fresh or chilled",5424,cockles
157,276,"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",19454,haliotis
158,278,"Aquatic invertebrates; sea cucumbers (Stichopus japonicus, Holothurioidea), live, fresh or chilled",526,cucumbers
159,279,"Aquatic invertebrates; sea cucumbers (Stichopus japonicus, Holothurioidea), frozen, dried, salted or in brine, smoked, whether or not cooked before or during the smoking process",23960,invertebrates
160,280,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echichinus esculentus), live, fresh or chilled",1218,ox
161,281,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echichinus esculentus), frozen, dried, salted or in brine, smoked, whether or not cooked before or during smoking process",4814,paracentrotus
162,282,"Aquatic invertebrates; jellyfish (Rhopilema spp.), live, fresh, chilled, frozen, dried, salted or in brine, smoked, whether or not cooked before or during smoking",5201,rhopilema
163,283,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content not exceeding 1% (by weight)",5929,cream
164,285,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 6% (by weight)",34318,milk
165,286,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 6% but not exceeding 10%",39365,produce
166,287,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%",42204,sugar
167,288,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)",18040,granules
168,289,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",44076,weight
169,295,"Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter",6707,air
170,296,"Dairy produce; natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.s. in chapter 04",44116,whey
171,299,"Dairy produce,  fats and oils derived from milk (other than butter or dairy spreads)",11280,fats
172,300,"Dairy produce; fresh cheese (including whey cheese), not fermented, and curd",536,curd
173,301,"Dairy produce; cheese of all kinds, grated or powdered",3621,cheese
174,305,"Eggs; birds' eggs, in the shell, fresh, preserved or cooked",8462,eggs
175,306,"Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)",1240,hens
176,307,"Birds' eggs, in shell; fresh, fertilised eggs for incubation, other than fowls of the species Gallus domesticus (domestic hens)",6004,cuba
177,308,"Birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)",45560,birds
178,312,"Eggs; birds' eggs, yolks, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",8463,fresh eggs
179,314,"Eggs; birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter",45996,boiling
180,315,"Honey,  natural",21073,honey
181,316,"Animal products; edible, n.e.s. in this or other chapters",39366,products
182,317,"Animal products; hair and bristles, of pigs, hogs or boars, and waste thereof",917,bristles
183,318,"Animal products; badger hair and other brush making hair and waste of such bristles or hair, n.e.s. in heading no. 0502 (excluding horsehair)",5654,istle
184,319,"Animal products; guts, bladders and stomachs of animals (other than fish), whole and pieces thereof",42067,stomach
185,320,"Animal products,  bovine semen",33279,men
186,321,"Animal products; of fish or crustaceans, molluscs or other aquatic invertebrates and dead animals of chapter 3, unfit for human consumption",5668,consumption
187,323,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",1200,bulbs
188,324,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212",4652,crown
189,325,"Plants, live; unrooted cuttings and slips",6277,cutting
190,326,"Plants, live; rhododendrons and azaleas, grafted or not",38699,plants
191,327,"Plants, live; roses, grafted or not",2947,roses
192,328,"Plants, live; n.e.s. in heading no. 0602",37069,ants
193,329,"Flowers, cut; flowers, buds of a kind suitable for bouquets or for ornamental purposes, fresh",1144,buds
194,330,"Flowers, cut; roses, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",5092,cut flowers
195,331,"Flowers, cut; carnations, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",4627,ions
196,332,"Flowers, cut; orchids, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",12902,flowers
197,333,"Flowers, cut; chrysanthemums, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",4327,chrysanthemum
198,334,"Flowers, cut; lilies (Lilium spp.), flowers and flower buds of a kind suitable for bouquets or ornamental purposes, fresh",1332,ilium
199,335,"Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh, other than roses, carnations, orchids, or chrysanthemums",17754,chrysanthemums
200,337,"Vegetables; seed potatoes, fresh or chilled",468,seed potatoes
201,340,"Vegetables, alliaceous; onions and shallots, fresh or chilled",3175,shallots
202,342,"Vegetables, alliaceous; leeks and other kinds n.e.s. in heading no. 0703, fresh or chilled",43668,vegetables
203,343,"Vegetables, brassica; cauliflowers and headed broccoli, fresh or chilled",737,brassica
204,344,"Vegetables, brassica; brussel sprouts, fresh or chilled",11571,brass
205,347,"Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",5731,age
206,348,"Vegetables; witloff chicory (cichorium intybus var. foliosum), fresh or chilled",4569,cichorium
207,349,"Vegetables; chicory (cichorium spp.), (other than witloof chicory), fresh or chilled",45918,chicory
208,350,"Vegetables, root; carrots and turnips, fresh or chilled",24064,ips
209,351,"Vegetables, root; salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",2761,radishes
210,352,"Vegetables; cucumbers and gherkins, fresh or chilled",1063,gherkins
211,353,"Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, fresh or chilled",1531,legumin
212,354,"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled",17562,beans
213,355,"Vegetables, leguminous; (other than peas and beans), shelled or unshelled, fresh or chilled",2115,peas
214,358,"Vegetables; celery (other than celeriac), fresh or chilled",3071,celeriac
215,359,"Vegetables; mushrooms, fresh or chilled",8277,mushrooms
216,360,"Vegetables; truffles, fresh or chilled",43156,truffles
217,362,"Vegetables,  fruits of the genus capsicum or of the genus pimenta",1814,cap
218,367,"Vegetables; pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled",6202,cucurbita
219,369,"Vegetables; potatoes, uncooked or cooked by steaming or boiling in water, frozen",3522,toes
220,370,"Vegetables, leguminous; peas (pisum sativum), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",38578,pisum
221,371,"Vegetables, leguminous; beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",38223,phaseolus
